inventory_id,shipment_item_id,rental_price
1,1,2.99
2,1,2.99
3,1,2.99
4,1,2.99
6,2,0.99
7,2,0.99
8,2,0.99
9,2,0.99
10,2,0.99
11,2,0.99
12,2,0.99
13,2,0.99
14,3,1.99
15,3,1.99
16,3,1.99
17,3,1.99
18,3,1.99
19,3,1.99
20,3,1.99
21,3,1.99
23,3,1.99
24,3,1.99
25,3,1.99
27,3,1.99
28,3,1.99
29,3,1.99
30,4,2.99
31,4,2.99
32,4,2.99
33,4,2.99
34,4,2.99
35,4,2.99
36,4,2.99
37,4,2.99
38,5,1.99
40,5,1.99
41,5,1.99
42,5,1.99
43,6,1.99
45,6,1.99
46,6,1.99
48,6,1.99
49,6,1.99
50,6,1.99
51,6,1.99
52,6,1.99
53,6,1.99
54,6,1.99
55,6,1.99
56,6,1.99
57,7,1.99
58,7,1.99
59,8,0.99
60,8,0.99
61,8,0.99
63,8,0.99
64,8,0.99
66,8,0.99
67,8,0.99
68,8,0.99
69,8,0.99
70,8,0.99
71,8,0.99
73,9,1.99
74,9,1.99
76,9,1.99
77,9,1.99
78,9,1.99
79,9,1.99
80,9,1.99
81,9,1.99
82,9,1.99
84,9,1.99
85,9,1.99
86,9,1.99
87,9,1.99
88,9,1.99
89,9,1.99
90,10,1.99
91,10,1.99
92,10,1.99
94,10,1.99
95,10,1.99
96,10,1.99
97,10,1.99
98,10,1.99
99,10,1.99
100,10,1.99
102,10,1.99
103,10,1.99
104,10,1.99
105,10,1.99
106,11,1.99
109,11,1.99
110,11,1.99
112,11,1.99
113,11,1.99
114,11,1.99
116,12,1.99
118,12,1.99
119,12,1.99
120,12,1.99
121,12,1.99
122,12,1.99
123,12,1.99
124,12,1.99
125,12,1.99
126,12,1.99
127,13,2.99
128,13,2.99
129,14,0.99
130,14,0.99
131,14,0.99
132,14,0.99
133,14,0.99
134,14,0.99
136,14,0.99
137,14,0.99
138,14,0.99
139,14,0.99
140,14,0.99
141,14,0.99
142,14,0.99
143,15,0.99
144,15,0.99
145,15,0.99
146,15,0.99
147,15,0.99
148,15,0.99
150,15,0.99
151,15,0.99
153,15,0.99
154,15,0.99
155,15,0.99
158,15,0.99
159,16,1.99
160,16,1.99
161,16,1.99
162,16,1.99
163,16,1.99
164,16,1.99
165,16,1.99
168,16,1.99
170,16,1.99
171,16,1.99
173,16,1.99
174,16,1.99
177,16,1.99
178,17,1.99
179,17,1.99
181,17,1.99
182,17,1.99
185,17,1.99
186,17,1.99
187,17,1.99
188,17,1.99
189,17,1.99
190,18,2.99
193,19,1.99
194,19,1.99
195,19,1.99
197,19,1.99
198,19,1.99
199,19,1.99
200,19,1.99
201,19,1.99
202,19,1.99
203,19,1.99
204,19,1.99
205,19,1.99
206,19,1.99
208,20,1.99
209,20,1.99
210,20,1.99
211,20,1.99
212,20,1.99
213,20,1.99
214,20,1.99
216,20,1.99
217,20,1.99
218,21,2.99
219,22,1.99
220,23,1.99
221,23,1.99
223,23,1.99
224,23,1.99
225,23,1.99
226,23,1.99
227,23,1.99
228,23,1.99
229,23,1.99
230,23,1.99
231,23,1.99
232,23,1.99
234,23,1.99
235,23,1.99
236,23,1.99
237,23,1.99
238,23,1.99
239,24,1.99
240,24,1.99
241,24,1.99
242,24,1.99
243,24,1.99
244,24,1.99
245,24,1.99
246,24,1.99
247,24,1.99
248,25,1.99
249,25,1.99
250,25,1.99
251,25,1.99
252,25,1.99
253,25,1.99
254,25,1.99
255,25,1.99
256,25,1.99
257,25,1.99
259,25,1.99
260,25,1.99
261,25,1.99
263,25,1.99
264,25,1.99
265,26,0.99
266,26,0.99
267,26,0.99
268,26,0.99
270,26,0.99
271,26,0.99
273,26,0.99
274,26,0.99
275,26,0.99
276,26,0.99
277,26,0.99
278,26,0.99
280,26,0.99
282,27,1.99
283,27,1.99
284,27,1.99
285,27,1.99
286,27,1.99
287,27,1.99
288,27,1.99
289,28,1.99
290,28,1.99
291,28,1.99
292,28,1.99
293,28,1.99
295,28,1.99
296,28,1.99
297,28,1.99
298,28,1.99
300,29,2.99
301,29,2.99
302,29,2.99
303,29,2.99
304,29,2.99
305,29,2.99
306,30,0.99
307,30,0.99
308,30,0.99
309,30,0.99
310,30,0.99
311,30,0.99
313,30,0.99
314,30,0.99
315,30,0.99
316,30,0.99
319,30,0.99
321,30,0.99
322,30,0.99
323,31,1.99
324,31,1.99
325,31,1.99
326,31,1.99
328,31,1.99
329,31,1.99
332,32,0.99
333,32,0.99
334,32,0.99
335,32,0.99
336,32,0.99
337,32,0.99
340,32,0.99
341,32,0.99
342,32,0.99
343,33,1.99
345,33,1.99
346,34,1.99
347,34,1.99
348,34,1.99
350,34,1.99
351,34,1.99
352,34,1.99
353,34,1.99
354,34,1.99
355,34,1.99
356,34,1.99
358,35,1.99
360,35,1.99
361,35,1.99
362,35,1.99
363,35,1.99
364,35,1.99
366,35,1.99
367,35,1.99
368,35,1.99
369,35,1.99
370,35,1.99
372,35,1.99
373,35,1.99
374,35,1.99
375,35,1.99
378,36,1.99
379,36,1.99
381,36,1.99
382,36,1.99
383,36,1.99
384,36,1.99
385,36,1.99
386,36,1.99
387,37,1.99
388,37,1.99
389,37,1.99
390,37,1.99
392,37,1.99
393,37,1.99
394,37,1.99
395,37,1.99
396,37,1.99
397,37,1.99
398,37,1.99
399,37,1.99
400,37,1.99
402,37,1.99
404,37,1.99
405,37,1.99
406,38,1.99
407,38,1.99
409,39,1.99
411,39,1.99
413,39,1.99
414,39,1.99
415,39,1.99
416,39,1.99
417,39,1.99
418,39,1.99
419,39,1.99
421,39,1.99
422,40,1.99
425,40,1.99
427,40,1.99
428,40,1.99
429,40,1.99
430,41,2.99
431,41,2.99
433,41,2.99
435,41,2.99
436,41,2.99
437,41,2.99
438,41,2.99
439,42,1.99
440,42,1.99
441,42,1.99
442,42,1.99
443,42,1.99
444,42,1.99
445,42,1.99
446,42,1.99
447,42,1.99
448,42,1.99
449,43,1.99
450,43,1.99
451,43,1.99
452,43,1.99
453,43,1.99
454,43,1.99
455,43,1.99
456,43,1.99
457,43,1.99
459,43,1.99
460,43,1.99
461,43,1.99
462,43,1.99
463,43,1.99
464,43,1.99
465,44,2.99
466,45,0.99
467,45,0.99
468,45,0.99
469,45,0.99
470,45,0.99
471,45,0.99
472,45,0.99
474,45,0.99
475,45,0.99
476,45,0.99
477,45,0.99
478,45,0.99
480,46,2.99
481,46,2.99
482,46,2.99
483,46,2.99
484,46,2.99
485,46,2.99
486,47,1.99
487,47,1.99
488,47,1.99
489,47,1.99
490,47,1.99
491,47,1.99
492,47,1.99
493,47,1.99
494,47,1.99
495,47,1.99
496,47,1.99
497,47,1.99
498,47,1.99
499,47,1.99
500,47,1.99
501,47,1.99
503,48,2.99
504,48,2.99
505,49,0.99
506,49,0.99
507,49,0.99
508,49,0.99
510,50,0.99
511,50,0.99
513,50,0.99
515,50,0.99
516,50,0.99
517,50,0.99
518,50,0.99
520,50,0.99
521,51,1.99
522,51,1.99
523,51,1.99
524,51,1.99
525,51,1.99
526,51,1.99
527,51,1.99
530,51,1.99
531,51,1.99
532,51,1.99
533,51,1.99
534,51,1.99
535,51,1.99
536,51,1.99
537,52,2.99
538,52,2.99
539,52,2.99
541,52,2.99
543,52,2.99
545,52,2.99
546,53,1.99
548,53,1.99
549,53,1.99
551,53,1.99
552,53,1.99
553,53,1.99
555,53,1.99
556,53,1.99
557,54,1.99
558,54,1.99
559,54,1.99
560,54,1.99
561,54,1.99
563,54,1.99
564,54,1.99
566,54,1.99
567,54,1.99
568,54,1.99
569,54,1.99
571,55,1.99
572,55,1.99
573,55,1.99
575,55,1.99
578,55,1.99
579,55,1.99
581,55,1.99
582,55,1.99
583,55,1.99
584,55,1.99
585,55,1.99
586,56,2.99
588,57,2.99
590,58,1.99
591,58,1.99
592,58,1.99
593,58,1.99
594,58,1.99
595,58,1.99
597,58,1.99
598,58,1.99
599,58,1.99
600,58,1.99
601,58,1.99
602,59,0.99
603,59,0.99
604,59,0.99
605,59,0.99
606,59,0.99
607,59,0.99
608,59,0.99
609,59,0.99
610,59,0.99
611,59,0.99
613,59,0.99
614,59,0.99
615,59,0.99
616,59,0.99
617,59,0.99
618,59,0.99
619,60,1.99
620,60,1.99
621,60,1.99
622,60,1.99
623,60,1.99
624,60,1.99
626,61,1.99
627,61,1.99
629,62,0.99
630,62,0.99
631,62,0.99
632,62,0.99
633,63,1.99
634,63,1.99
635,63,1.99
636,63,1.99
637,63,1.99
639,63,1.99
640,63,1.99
641,63,1.99
642,63,1.99
643,63,1.99
644,63,1.99
645,63,1.99
646,63,1.99
647,63,1.99
648,63,1.99
649,63,1.99
650,63,1.99
651,63,1.99
654,64,0.99
655,64,0.99
656,64,0.99
657,64,0.99
658,64,0.99
659,64,0.99
660,64,0.99
661,64,0.99
662,64,0.99
663,64,0.99
664,65,1.99
665,65,1.99
666,65,1.99
667,65,1.99
668,65,1.99
669,65,1.99
670,65,1.99
671,65,1.99
672,65,1.99
673,65,1.99
674,65,1.99
675,65,1.99
676,65,1.99
678,65,1.99
681,66,1.99
682,66,1.99
683,66,1.99
684,66,1.99
685,66,1.99
686,66,1.99
687,66,1.99
688,66,1.99
689,67,1.99
690,68,1.99
692,68,1.99
693,69,1.99
694,69,1.99
695,69,1.99
696,69,1.99
697,69,1.99
698,69,1.99
699,69,1.99
701,70,1.99
702,70,1.99
703,70,1.99
704,71,2.99
705,71,2.99
